,0
0,159.0
1,161.0
2,177.0
3,135.0
4,110.0
5,105.0
6,90.0
7,92.0
8,91.0
9,50.0
10,73.0
11,123.0
12,76.0
13,83.0
14,74.0
15,81.0
16,85.0
17,86.0
18,91.0
19,86.0
20,88.0
21,86.0
22,84.0
23,72.0
24,82.0
25,85.0
26,82.0
27,87.0
28,92.0
29,90.0
30,81.0
31,80.0
32,77.0
33,76.0
34,91.0
35,86.0
36,74.0
37,79.0
38,74.0
39,70.0
40,94.0
41,96.0
42,100.0
43,101.0
44,95.0
45,95.0
46,98.0
47,95.0
48,93.0
49,87.0
50,89.0
51,82.0
52,80.0
53,80.0
54,84.0
55,86.0
56,81.0
57,78.0
58,79.0
59,80.0
60,80.0
61,79.0
62,81.0
63,89.0
64,81.0
65,83.0
66,88.0
67,88.0
68,87.0
69,87.0
70,86.0
71,83.0
72,91.0
73,89.0
74,81.0
75,83.0
76,79.0
77,84.0
78,80.0
79,80.0
80,82.0
81,83.0
82,73.0
83,74.0
84,82.0
85,84.0
86,86.0
87,85.0
88,96.0
89,95.0
90,100.0
91,100.0
92,97.0
93,98.0
94,98.0
95,101.0
96,103.0
97,100.0
98,93.0
99,89.0
100,89.0
101,88.0
102,98.0
103,97.0
104,97.0
105,97.0
106,96.0
107,95.0
108,92.0
109,95.0
110,98.0
111,98.0
112,98.0
113,92.0
114,93.0
115,94.0
116,93.0
117,92.0
118,91.0
119,94.0
120,90.0
121,96.0
122,96.0
123,93.0
124,91.0
125,86.0
126,87.0
127,84.0
128,77.0
129,78.0
130,79.0
131,80.0
132,80.0
133,83.0
134,84.0
135,83.0
136,88.0
137,89.0
138,89.0
139,86.0
140,85.0
141,83.0
142,81.0
143,79.0
144,166.0
145,76.0
146,75.0
147,71.0
148,72.0
149,75.0
150,77.0
151,75.0
152,74.0
153,70.0
154,74.0
155,148.0
156,72.0
157,73.0
158,74.0
159,74.0
160,71.0
161,73.0
162,71.0
163,73.0
164,79.0
165,77.0
166,79.0
167,75.0
168,73.0
169,75.0
170,80.0
171,77.0
172,82.0
173,85.0
174,78.0
175,78.0
176,81.0
177,82.0
178,86.0
179,84.0
