diffrence,color,mask,illumination,threshold,min_error
3884_000_df.jpg,3884_000_cl.jpg,3884_000_pr.jpg,1713549,49,0
3884_001_df.jpg,3884_001_cl.jpg,3884_001_pr.jpg,1615695,53,0
3884_002_df.jpg,3884_002_cl.jpg,3884_002_pr.jpg,1582052,52,0
3884_003_df.jpg,3884_003_cl.jpg,3884_003_pr.jpg,2054789,41,0
3884_004_df.jpg,3884_004_cl.jpg,3884_004_pr.jpg,2061112,78,0
3884_005_df.jpg,3884_005_cl.jpg,3884_005_pr.jpg,1811722,136,0
3884_006_df.jpg,3884_006_cl.jpg,3884_006_pr.jpg,1686688,125,0
3884_007_df.jpg,3884_007_cl.jpg,3884_007_pr.jpg,1406077,113,0
3884_008_df.jpg,3884_008_cl.jpg,3884_008_pr.jpg,1663623,111,0
3884_009_df.jpg,3884_009_cl.jpg,3884_009_pr.jpg,1866935,76,0
3884_010_df.jpg,3884_010_cl.jpg,3884_010_pr.jpg,1603423,53,0
3884_011_df.jpg,3884_011_cl.jpg,3884_011_pr.jpg,1600829,66,0
3884_012_df.jpg,3884_012_cl.jpg,3884_012_pr.jpg,1895024,98,0
3884_013_df.jpg,3884_013_cl.jpg,3884_013_pr.jpg,2229891,92,0
3884_014_df.jpg,3884_014_cl.jpg,3884_014_pr.jpg,1808709,25,0
3884_015_df.jpg,3884_015_cl.jpg,3884_015_pr.jpg,1795528,39,0
3884_016_df.jpg,3884_016_cl.jpg,3884_016_pr.jpg,1679799,57,0
3884_017_df.jpg,3884_017_cl.jpg,3884_017_pr.jpg,1700739,78,0
3884_018_df.jpg,3884_018_cl.jpg,3884_018_pr.jpg,2338745,55,0
3884_019_df.jpg,3884_019_cl.jpg,3884_019_pr.jpg,2353616,78,0
3884_020_df.jpg,3884_020_cl.jpg,3884_020_pr.jpg,2400599,88,0
3884_021_df.jpg,3884_021_cl.jpg,3884_021_pr.jpg,2395473,106,0
3884_022_df.jpg,3884_022_cl.jpg,3884_022_pr.jpg,2182717,105,0
3884_023_df.jpg,3884_023_cl.jpg,3884_023_pr.jpg,2242306,75,0
3884_024_df.jpg,3884_024_cl.jpg,3884_024_pr.jpg,2282614,89,0
3884_025_df.jpg,3884_025_cl.jpg,3884_025_pr.jpg,2138761,120,0
3884_026_df.jpg,3884_026_cl.jpg,3884_026_pr.jpg,2270662,101,0
3884_027_df.jpg,3884_027_cl.jpg,3884_027_pr.jpg,2333704,82,68994
3884_028_df.jpg,3884_028_cl.jpg,3884_028_pr.jpg,2186599,65,226311
3884_029_df.jpg,3884_029_cl.jpg,3884_029_pr.jpg,2103618,71,408273
3884_030_df.jpg,3884_030_cl.jpg,3884_030_pr.jpg,2199199,57,283815
3884_031_df.jpg,3884_031_cl.jpg,3884_031_pr.jpg,2173697,62,224910
3884_032_df.jpg,3884_032_cl.jpg,3884_032_pr.jpg,2277968,52,201576
3884_033_df.jpg,3884_033_cl.jpg,3884_033_pr.jpg,2319108,62,253197
3884_034_df.jpg,3884_034_cl.jpg,3884_034_pr.jpg,2286118,86,156714
3884_035_df.jpg,3884_035_cl.jpg,3884_035_pr.jpg,2290473,91,131550
3884_036_df.jpg,3884_036_cl.jpg,3884_036_pr.jpg,2211513,54,670119
3884_037_df.jpg,3884_037_cl.jpg,3884_037_pr.jpg,2257924,64,1329243
3884_038_df.jpg,3884_038_cl.jpg,3884_038_pr.jpg,2393178,65,1139457
3884_039_df.jpg,3884_039_cl.jpg,3884_039_pr.jpg,2190626,74,1079313
3884_040_df.jpg,3884_040_cl.jpg,3884_040_pr.jpg,2027126,37,1923018
3884_041_df.jpg,3884_041_cl.jpg,3884_041_pr.jpg,2059784,41,1356675
3884_042_df.jpg,3884_042_cl.jpg,3884_042_pr.jpg,2015597,71,1546896
3884_043_df.jpg,3884_043_cl.jpg,3884_043_pr.jpg,2024874,61,1270944
3884_044_df.jpg,3884_044_cl.jpg,3884_044_pr.jpg,2103802,74,787206
3884_045_df.jpg,3884_045_cl.jpg,3884_045_pr.jpg,2094756,61,726465
